"Inversion","Population","Imputability","Good_Geno","P_pop","P_100","P_250","P_500","Summary","Heteros"
"HsInv0003","EAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0003","AFR","Tagged","1","1","1","1","0.983666666666667","2","2"
"HsInv0003","ALL","Tagged","1",NA,"1","1","1","1","0"
"HsInv0003","EUR","Tagged","1","1","0.9935","0.995416666666667","1","2","5"
"HsInv0003","SAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0004","EAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0004","AFR","Tagged","1","1","1","1","1","1","0"
"HsInv0004","ALL","Tagged","1",NA,"0.921","0.954","0.834","1","1"
"HsInv0004","EUR","Tagged","1","1","1","1","1","2","2"
"HsInv0004","SAS",NA,"1","0.999","1","1","1","1","1"
"HsInv0006","EAS",NA,"1","0.999","1","1","1","2","1"
"HsInv0006","AFR","Tagged","1","0.994333333333333","1","1","1","2","1"
"HsInv0006","ALL","Tagged","1",NA,"1","1","1","1","0"
"HsInv0006","EUR","Tagged","1","0.975833333333333","0.998833333333333","0.984916666666667","0.9745","3","3"
"HsInv0006","SAS",NA,"1","0.999","1","1","1","1","1"
"HsInv0014","EAS",NA,"1","0.983","1","0.999333333333333","1","2","1"
"HsInv0014","AFR","Tagged","1","0.999666666666667","0.988","1","1","1","0"
"HsInv0014","ALL","Tagged","1",NA,"0.95","1","1","1","0"
"HsInv0014","EUR","Tagged","1","0.998416666666667","0.991416666666667","0.999916666666667","0.999416666666667","2","1"
"HsInv0014","SAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0015","EAS",NA,"1","0.996","0.997666666666667","0.993666666666667","0.994333333333333","2","1"
"HsInv0015","AFR","Tagged","1","0.996","0.98","0.972","0.982","3","1"
"HsInv0015","ALL","Imputable","1",NA,"0.999","0.946","0.969","1","1"
"HsInv0015","EUR","Imputable","1","0.993666666666667","0.996666666666667","0.999416666666667","0.998833333333333","3","3"
"HsInv0015","SAS",NA,NA,NA,"1","1","1","0","0"
"HsInv0016","EAS",NA,"1","0.997","1","1","1","1","0"
"HsInv0016","AFR","Tagged","1","0.996","1","1","1","2","0"
"HsInv0016","ALL","Tagged","1",NA,"1","0.999","1","1","0"
"HsInv0016","EUR","Tagged","1","0.997","1","0.995833333333333","1","2","4"
"HsInv0016","SAS",NA,NA,NA,"1","1","1","0","0"
"HsInv0030","EAS",NA,"1","0.999","0.999","1","1","1","0"
"HsInv0030","AFR","No_Imputable","1","0.999666666666667","1","1","1","1","0"
"HsInv0030","ALL","No_Imputable","1",NA,"1","0.89","0.942","1","0"
"HsInv0030","EUR","Imputable","1","0.9965","0.984916666666667","0.990333333333333","0.99375","2","3"
"HsInv0030","SAS",NA,"1","0.991","0.845","0.863","0.953","1","1"
"HsInv0031","EAS",NA,"1","0.999","1","1","1","2","1"
"HsInv0031","AFR","Tagged","1","0.999333333333333","0.868666666666667","0.972666666666667","0.997666666666667","3","1"
"HsInv0031","ALL","Tagged","1",NA,"1","1","1","1","1"
"HsInv0031","EUR","Tagged","1","1","1","1","1","3","5"
"HsInv0031","SAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0040","EAS",NA,"1","0.999","0.966666666666667","0.992","0.975333333333333","2","1"
"HsInv0040","AFR","Tagged","1","1","1","1","1","1","0"
"HsInv0040","ALL","Tagged","1",NA,"0.75","0.877","0.947","1","1"
"HsInv0040","EUR","Tagged","1","1","1","0.99725","1","3","7"
"HsInv0040","SAS",NA,"1","0.999","1","1","1","1","1"
"HsInv0041","EAS",NA,"1","0.998","0.998666666666667","1","0.999333333333333","2","2"
"HsInv0041","AFR","Tagged","1","1","0.908","0.962333333333333","0.956","2","2"
"HsInv0041","ALL","Tagged","1",NA,"1","1","1","1","0"
"HsInv0041","EUR","Tagged","1","0.988583333333333","0.969916666666667","0.971833333333333","0.97","3","5"
"HsInv0041","SAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0045","EAS",NA,"1","0.999","1","1","1","2","2"
"HsInv0045","AFR","Tagged","1","1","1","1","1","1","3"
"HsInv0045","ALL","Tagged","1",NA,"1","1","1","1","0"
"HsInv0045","EUR","Tagged","1","1","0.99475","0.994","0.9975","3","8"
"HsInv0045","SAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0052id","EAS",NA,"1","0.996","0.996333333333333","0.997333333333333","0.997","1","0"
"HsInv0052id","AFR",NA,"0.666666666666667","0.984","0.979666666666667","0.832666666666667","0.914","1","0"
"HsInv0052id","ALL",NA,"1",NA,"0.948","0.824","0.795","1","0"
"HsInv0052id","EUR",NA,"1","0.970916666666667","0.949666666666667","0.9135","0.943833333333333","3","2"
"HsInv0052id","SAS",NA,NA,NA,"0.996","0.997","0.997","0","0"
"HsInv0052sd","EAS",NA,NA,"0.646666666666667","0.572666666666667","0.831","0.85","0","0"
"HsInv0052sd","AFR",NA,"0.666666666666667","0.665","0.689333333333333","0.76","0.672","2","0"
"HsInv0052sd","ALL",NA,"1",NA,"0.999","0.999","0.999","1","0"
"HsInv0052sd","EUR",NA,"0.666666666666667","0.79875","0.827","0.835083333333333","0.888416666666667","3","1"
"HsInv0052sd","SAS",NA,NA,NA,"0.749","0.75","0.8","0","0"
"HsInv0052si","EAS",NA,NA,NA,"0.995","0.995","0.995","0","0"
"HsInv0052si","AFR","Tagged","0.666666666666667","0.973","0.995","0.978333333333333","0.959333333333333","2","1"
"HsInv0052si","ALL","Tagged","1",NA,"0.995","0.995","0.995","1","0"
"HsInv0052si","EUR","Tagged","1","0.992","0.995","0.995","0.995","3","1"
"HsInv0052si","SAS",NA,NA,NA,"0.995","0.995","0.995","0","0"
"HsInv0055","EAS",NA,"1","0.968","0.97","0.986","0.963666666666667","1","0"
"HsInv0055","AFR","Imputable","1","0.971333333333333","1","0.992333333333333","1","2","2"
"HsInv0055","ALL","Imputable","1",NA,"0.989","0.991","0.99","1","0"
"HsInv0055","EUR","Imputable","1","0.998","0.967583333333333","0.978166666666667","0.970166666666667","2","2"
"HsInv0055","SAS",NA,"1","0.999","1","1","0.999","1","0"
"HsInv0058","EAS",NA,"0.333333333333333","0.566","0.649333333333333","0.663666666666667","0.707","1","0"
"HsInv0058","AFR","Tagged","0.333333333333333","0.502","0.568666666666667","0.504333333333333","0.520333333333333","1","0"
"HsInv0058","ALL","Tagged","1",NA,"0.651","0.456","0.55","1","0"
"HsInv0058","EUR","Tagged","0.333333333333333","0.565916666666667","0.595833333333333","0.604666666666667","0.591916666666667","3","1"
"HsInv0058","SAS",NA,NA,"0.535","0.463","0.681","0.61","0","0"
"HsInv0059","EAS",NA,"1","0.980333333333333","0.998666666666667","0.994666666666667","0.998333333333333","2","2"
"HsInv0059","AFR","Tagged","1","0.984666666666667","0.999666666666667","0.999333333333333","0.997333333333333","2","1"
"HsInv0059","ALL","Tagged","1",NA,"1","0.952","1","1","1"
"HsInv0059","EUR","Tagged","1","0.999916666666667","0.998916666666667","1","1","2","4"
"HsInv0059","SAS",NA,"1","0.999","1","1","1","1","1"
"HsInv0060","EAS",NA,"1","0.996","0.989666666666667","1","1","2","1"
"HsInv0060","AFR","Tagged","1","0.996","1","1","1","2","2"
"HsInv0060","ALL","Tagged","1",NA,"1","1","1","1","1"
"HsInv0060","EUR","Tagged","1","0.98825","0.999","1","1","3","7"
"HsInv0060","SAS",NA,NA,NA,"1","1","1","0","0"
"HsInv0061","EAS",NA,"1","0.930333333333333","0.958","0.98","0.988333333333333","1","0"
"HsInv0061","AFR","No_Polymorphic","1","1","1","1","1","1","0"
"HsInv0061","ALL","No_Imputable","1",NA,"0.997","1","1","1","0"
"HsInv0061","EUR","No_Imputable","1","0.999416666666667","0.995","0.997916666666667","0.997666666666667","1","0"
"HsInv0061","SAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0063","EAS",NA,"1","0.998666666666667","0.993666666666667","0.998333333333333","0.981333333333333","2","1"
"HsInv0063","AFR","Tagged","1","0.996","0.988333333333333","0.976666666666667","0.996333333333333","2","1"
"HsInv0063","ALL","Tagged","1",NA,"1","1","1","1","0"
"HsInv0063","EUR","Tagged","1","0.99425","0.998583333333333","1","0.997916666666667","3","6"
"HsInv0063","SAS",NA,"1","0.999","1","1","1","1","1"
"HsInv0068","EAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0068","AFR","Tagged","1","1","1","1","1","2","0"
"HsInv0068","ALL","Tagged","1",NA,"1","1","1","1","0"
"HsInv0068","EUR","Tagged","1","1","0.995833333333333","1","1","2","8"
"HsInv0068","SAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0069","EAS",NA,"0.333333333333333","0.733666666666667","0.610333333333333","0.637666666666667","0.549333333333333","1","1"
"HsInv0069","AFR","No_Imputable","0.333333333333333","0.597","0.546333333333333","0.538","0.638333333333333","1","0"
"HsInv0069","ALL","No_Imputable","1",NA,"0.895","0.911","0.853","1","0"
"HsInv0069","EUR","No_Imputable","0.833333333333333","0.785333333333333","0.71325","0.739916666666667","0.713916666666667","3","4"
"HsInv0069","SAS",NA,"1","0.922","0.729","0.907","0.922","1","0"
"HsInv0092","EAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0092","AFR","Tagged","1","1","1","1","1","2","2"
"HsInv0092","ALL","Tagged","1",NA,"1","1","1","1","1"
"HsInv0092","EUR","Tagged","1","1","0.99975","1","1","2","3"
"HsInv0092","SAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0095","EAS",NA,"1","0.999","1","1","0.993","2","2"
"HsInv0095","AFR","Tagged","1","1","1","1","1","2","1"
"HsInv0095","ALL","Tagged","1",NA,"1","1","1","1","0"
"HsInv0095","EUR","Tagged","1","0.997083333333333","0.998","0.997833333333333","0.999916666666667","3","4"
"HsInv0095","SAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0097","EAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0097","AFR","Tagged","1","0.989333333333333","1","0.999666666666667","0.995666666666667","1","0"
"HsInv0097","ALL","Tagged","1",NA,"1","1","1","1","0"
"HsInv0097","EUR","No_Polymorphic","1","1","1","1","1","1","0"
"HsInv0097","SAS",NA,"1","0.999","1","1","0.999","1","0"
"HsInv0098","EAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0098","AFR","Tagged","1","1","1","1","1","3","1"
"HsInv0098","ALL","Tagged","1",NA,"1","1","1","1","0"
"HsInv0098","EUR","Tagged","1","0.99925","0.999083333333333","0.99325","0.996416666666667","2","1"
"HsInv0098","SAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0102","EAS",NA,"1","0.997333333333333","1","1","1","1","0"
"HsInv0102","AFR","Imputable","1","0.993","0.983333333333333","0.976333333333333","0.990666666666667","2","2"
"HsInv0102","ALL","Imputable","1",NA,"1","0.999","1","1","0"
"HsInv0102","EUR","Imputable","1","0.9995","0.99475","0.996833333333333","0.997","3","1"
"HsInv0102","SAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0105","EAS",NA,"1","0.999","1","1","1","1","3"
"HsInv0105","AFR","Imputable","0.666666666666667","0.947666666666667","0.803666666666667","0.827","0.847333333333333","1","0"
"HsInv0105","ALL","Imputable","1",NA,"1","0.998","1","1","0"
"HsInv0105","EUR","Tagged","1","1","0.99975","0.999333333333333","1","3","7"
"HsInv0105","SAS",NA,"1","0.999","0.996","0.998","1","1","0"
"HsInv0113","EAS",NA,"1","0.997","1","1","1","1","0"
"HsInv0113","AFR","Tagged","0.666666666666667","0.75","0.772","0.816666666666667","0.876333333333333","1","0"
"HsInv0113","ALL","Tagged","1",NA,"1","1","1","1","0"
"HsInv0113","EUR","Tagged","1","0.942166666666667","0.99975","0.999833333333333","1","2","2"
"HsInv0113","SAS",NA,NA,NA,"1","1","1","0","0"
"HsInv0114","EAS",NA,"1","0.999","0.999333333333333","1","0.999333333333333","1","0"
"HsInv0114","AFR","Imputable","0.666666666666667","0.831","0.899","0.891333333333333","0.882","1","0"
"HsInv0114","ALL","Imputable","1",NA,"0.997","1","0.976","1","1"
"HsInv0114","EUR","Imputable","0.916666666666667","0.912","0.924083333333333","0.954333333333333","0.964166666666667","3","4"
"HsInv0114","SAS",NA,"1","0.999","1","1","0.996","1","0"
"HsInv0124","EAS",NA,"1","0.998666666666667","0.998333333333333","0.996333333333333","0.980666666666667","1","0"
"HsInv0124","AFR","Imputable","1","0.740333333333333","0.939333333333333","0.923666666666667","0.901666666666667","2","1"
"HsInv0124","ALL","Imputable","1",NA,"0.99","0.991","0.991","1","0"
"HsInv0124","EUR","Imputable","1","0.97825","0.984","0.9835","0.983083333333333","3","3"
"HsInv0124","SAS",NA,"1","0.827","0.835","0.954","0.855","1","1"
"HsInv0141","EAS",NA,"1","0.997","0.945","0.973666666666667","0.997","1","0"
"HsInv0141","AFR","Tagged","1","0.949666666666667","0.984333333333333","0.949","0.939","2","1"
"HsInv0141","ALL","Tagged","1",NA,"0.999","0.999","0.999","1","0"
"HsInv0141","EUR","Tagged","1","0.972","0.964666666666667","0.96875","0.983333333333333","2","1"
"HsInv0141","SAS",NA,NA,NA,"1","1","1","0","0"
"HsInv0147","EAS",NA,"1","0.996","0.997666666666667","0.995","0.993333333333333","1","0"
"HsInv0147","AFR","Tagged","1","0.929333333333333","0.947333333333333","0.970666666666667","0.955333333333333","2","1"
"HsInv0147","ALL","Tagged","1",NA,"0.999","0.998","0.999","1","0"
"HsInv0147","EUR","Tagged","1","0.970916666666667","0.97225","0.962416666666667","0.975166666666667","1","0"
"HsInv0147","SAS",NA,NA,NA,"0.983","0.944","0.935","0","0"
"HsInv0156","EAS",NA,"1","0.996","0.991","0.993","0.992666666666667","2","1"
"HsInv0156","AFR","Tagged","0.333333333333333","0.782","0.731666666666667","0.776666666666667","0.718333333333333","1","0"
"HsInv0156","ALL","Tagged","1",NA,"1","0.994","1","1","0"
"HsInv0156","EUR","Tagged","1","0.9765","0.998083333333333","0.984583333333333","0.991583333333333","2","1"
"HsInv0156","SAS",NA,NA,NA,"1","1","1","0","0"
"HsInv0163","EAS",NA,"1","0.996","0.999666666666667","1","1","2","0"
"HsInv0163","AFR","Tagged","1","0.998","0.997666666666667","0.999666666666667","0.999333333333333","2","2"
"HsInv0163","ALL","Tagged","1",NA,"1","1","1","1","0"
"HsInv0163","EUR","Tagged","1","0.982666666666667","0.9975","0.999333333333333","0.997","1","0"
"HsInv0163","SAS",NA,NA,NA,"1","1","1","0","0"
"HsInv0174","EAS",NA,"1","0.997","1","1","1","2","1"
"HsInv0174","AFR","Tagged","1","0.993","1","1","1","2","2"
