#chrom	chromStart	chromEnd	type
chr1	0	10000	telomere
chr1	248946422	248956422	telomere
chr2	0	10000	telomere
chr2	242183529	242193529	telomere
chr3	0	10000	telomere
chr3	198285559	198295559	telomere
chr4	0	10000	telomere
chr4	190204555	190214555	telomere
chr5	0	10000	telomere
chr5	181528259	181538259	telomere
chr6	0	10000	telomere
chr6	170795979	170805979	telomere
chr7	0	10000	telomere
chr7	159335973	159345973	telomere
chr8	0	10000	telomere
chr8	145128636	145138636	telomere
chr9	0	10000	telomere
chr9	138384717	138394717	telomere
chrX	0	10000	telomere
chrX	156030895	156040895	telomere
chrY	0	10000	telomere
chrY	57217415	57227415	telomere
chr10	0	10000	telomere
chr10	133787422	133797422	telomere
chr11	0	10000	telomere
chr11	135076622	135086622	telomere
chr12	0	10000	telomere
chr12	133265309	133275309	telomere
chr13	0	10000	telomere
chr13	114354328	114364328	telomere
chr14	0	10000	telomere
chr14	107033718	107043718	telomere
chr15	0	10000	telomere
chr15	101981189	101991189	telomere
chr16	0	10000	telomere
chr16	90328345	90338345	telomere
chr17	0	10000	telomere
chr17	83247441	83257441	telomere
chr18	0	10000	telomere
chr18	80363285	80373285	telomere
chr19	0	10000	telomere
chr19	58607616	58617616	telomere
chr20	0	10000	telomere
chr20	64434167	64444167	telomere
chr21	0	10000	telomere
chr21	46699983	46709983	telomere
chr22	0	10000	telomere
chr22	50808468	50818468	telomere
chr1	121700000	123400000	acen
chr1	123400000	125100000	acen
chr2	91800000	93900000	acen
chr2	93900000	96000000	acen
chr3	87800000	90900000	acen
chr3	90900000	94000000	acen
chr4	48200000	50000000	acen
chr4	50000000	51800000	acen
chr5	46100000	48800000	acen
chr5	48800000	51400000	acen
chr6	58500000	59800000	acen
chr6	59800000	62600000	acen
chr7	58100000	60100000	acen
chr7	60100000	62100000	acen
chr8	43200000	45200000	acen
chr8	45200000	47200000	acen
chr9	42200000	43000000	acen
chr9	43000000	45500000	acen
chrX	58100000	61000000	acen
chrX	61000000	63800000	acen
chrY	10300000	10400000	acen
chrY	10400000	10600000	acen
chr10	38000000	39800000	acen
chr10	39800000	41600000	acen
chr11	51000000	53400000	acen
chr11	53400000	55800000	acen
chr12	33200000	35500000	acen
chr12	35500000	37800000	acen
chr13	16500000	17700000	acen
chr13	17700000	18900000	acen
chr14	16100000	17200000	acen
chr14	17200000	18200000	acen
chr15	17500000	19000000	acen
chr15	19000000	20500000	acen
chr16	35300000	36800000	acen
chr16	36800000	38400000	acen
chr17	22700000	25100000	acen
chr17	25100000	27400000	acen
chr18	15400000	18500000	acen
chr18	18500000	21500000	acen
chr19	24200000	26200000	acen
chr19	26200000	28100000	acen
chr20	25700000	28100000	acen
chr20	28100000	30400000	acen
chr21	10900000	12000000	acen
chr21	12000000	13000000	acen
chr22	13700000	15000000	acen
chr22	15000000	17400000	acen
